ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason,entry_reason,origin_id,tf
1,BTCUSDT,BULLISH,7215.54,7015.54,0.5,-100.0,2020-01-01 15:30:00,2020-01-02 17:00:00,Stop Loss,M30#4de0618d603b D1 Inertial Flow (Liberated) [T3],d1cf13ee63ab,M30
2,BTCUSDT,BULLISH,7215.42,7015.42,0.5,-100.0,2020-01-01 16:30:00,2020-01-02 17:00:00,Stop Loss,M30#37e20e97308e D1 Inertial Flow (Liberated) [T3],d1cf13ee63ab,M30
3,BTCUSDT,BULLISH,7206.6849999999995,6992.65,0.4672133062349619,-100.0,2020-01-01 22:30:00,2020-01-02 17:00:00,Stop Loss,H1#1095b94ecced D1 Inertial Flow (Liberated) [T2],d1cf13ee63ab,H1
7,BTCUSDT,BEARISH,6979.44,7179.44,0.485,-97.0,2020-01-02 20:00:00,2020-01-03 04:30:00,Stop Loss,M30#fc139ea02604 D1 Inertial Flow (Liberated) [T3],b45b266345e3,M30
4,BTCUSDT,BEARISH,7142.99,7342.99,0.5,-100.0,2020-01-02 08:00:00,2020-01-03 09:30:00,Stop Loss,M30#011a0a2443bc D1 Inertial Flow (Liberated) [T3],b45b266345e3,M30
6,BTCUSDT,BEARISH,7141.16,7355.08,0.46746447270007463,-100.0,2020-01-02 16:00:00,2020-01-03 09:30:00,Stop Loss,H1#4f46b557354f D1 Inertial Flow (Liberated) [T2],b45b266345e3,H1
5,BTCUSDT,BEARISH,7107.56,7429.49,0.31062653371851084,-100.0,2020-01-02 16:00:00,2020-01-05 01:00:00,Stop Loss,H4#9de99a42a5dc D1 Inertial Flow (Liberated) [T1],b45b266345e3,H4
15,BTCUSDT,BULLISH,8738.06,8538.06,0.46515,-93.03,2020-01-15 16:00:00,2020-01-19 11:00:00,Stop Loss,M30#e2a38c2f7e3d D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
17,BTCUSDT,BULLISH,8729.95,8529.95,0.46515,-93.03,2020-01-16 00:30:00,2020-01-19 11:00:00,Stop Loss,M30#dee74126887c D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
18,BTCUSDT,BULLISH,8653.29,8453.29,0.4558469999999999,-91.16939999999998,2020-01-19 21:00:00,2020-01-19 22:00:00,Stop Loss,M30#0ded81a5d816 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
20,BTCUSDT,BULLISH,8645.87,8445.87,0.4512885299999999,-90.25770599999998,2020-01-20 05:00:00,2020-01-23 09:30:00,Stop Loss,M30#84cdec53008a D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
14,BTCUSDT,BULLISH,8716.625,8431.59,0.3263809707579773,-93.03,2020-01-15 16:00:00,2020-01-23 10:00:00,Stop Loss,H1#b8466ca1dd99 D1 Inertial Flow (Liberated) [T2],b85456071d67,H1
16,BTCUSDT,BULLISH,8768.17,8431.59,0.27639788460395753,-93.03,2020-01-15 20:00:00,2020-01-23 10:00:00,Stop Loss,H4#8f816ffe940a D1 Inertial Flow (Liberated) [T1],b85456071d67,H4
13,BTCUSDT,BULLISH,8512.939999999999,8307.88,0.45367209597191177,-93.03,2020-01-14 11:00:00,2020-01-24 02:30:00,Stop Loss,H1#e2fbd9894dc2 D1 Inertial Flow (Liberated) [T2],7343d3620791,H1
19,BTCUSDT,BULLISH,8502.74,8302.74,0.4558469999999999,-91.16939999999998,2020-01-19 22:00:00,2020-01-24 02:30:00,Stop Loss,M30#872a490302fd D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
25,BTCUSDT,BULLISH,9326.56,9126.56,0.4282626746999998,-85.65253493999995,2020-01-30 11:00:00,2020-02-04 11:00:00,Stop Loss,M30#36cf3e85dda7 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
26,BTCUSDT,BULLISH,10113.975,9892.01,0.38202423621111387,-84.79600959059995,2020-02-09 13:30:00,2020-02-10 05:30:00,Stop Loss,H1#7ad76c524042 D1 Inertial Flow (Liberated) [T2],b85456071d67,H1
27,BTCUSDT,BULLISH,9755.57,9555.57,0.4197402474734697,-83.94804949469395,2020-02-17 04:00:00,2020-02-17 13:30:00,Stop Loss,H1#5f5598f2d895 D1 Inertial Flow (Liberated) [T3],b85456071d67,H1
28,BTCUSDT,BULLISH,9636.44,9436.44,0.41554284499873506,-83.108568999747,2020-02-17 23:00:00,2020-02-19 21:30:00,Stop Loss,M30#808f5250a924 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
29,BTCUSDT,BULLISH,9512.97,9312.97,0.41138741654874766,-82.27748330974953,2020-02-25 08:00:00,2020-02-25 16:30:00,Stop Loss,M30#eba462618879 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
8,BTCUSDT,BULLISH,7435.295,9266.02,0.42343141940329093,775.1864852870899,2020-01-05 15:00:00,2020-02-25 21:00:00,Stop Loss,H1#3e696c0ed83e D1 Inertial Flow (Liberated) [T2],7343d3620791,H1
9,BTCUSDT,BULLISH,7344.13,9266.02,0.4068130138184357,781.8498631275136,2020-01-05 22:00:00,2020-02-25 21:00:00,Stop Loss,H4#c5d12e2ddab7 D1 Inertial Flow (Liberated) [T1],7343d3620791,H4
10,BTCUSDT,BULLISH,7326.6,9266.02,0.41822513936342287,811.1141997842096,2020-01-05 22:00:00,2020-02-25 21:00:00,Stop Loss,H1#70e4d6ba79d4 D1 Inertial Flow (Liberated) [T2],7343d3620791,H1
11,BTCUSDT,BULLISH,7331.99,9266.02,0.46515,899.6140545000003,2020-01-05 22:00:00,2020-02-25 21:00:00,Stop Loss,M30#2e88ab34e74f D1 Inertial Flow (Liberated) [T3],7343d3620791,M30
30,BTCUSDT,BULLISH,9144.29,8944.29,0.5706617725182009,-114.13235450364019,2020-02-26 02:00:00,2020-02-26 16:00:00,Stop Loss,H1#65c3c44656c7 D1 Inertial Flow (Liberated) [T3],b85456071d67,H1
31,BTCUSDT,BULLISH,9169.82,8969.82,0.5706617725182009,-114.13235450364019,2020-02-26 02:00:00,2020-02-26 16:00:00,Stop Loss,H1#737164546c1f D1 Inertial Flow (Liberated) [T3],b85456071d67,H1
32,BTCUSDT,BULLISH,9169.82,8969.82,0.5706617725182009,-114.13235450364019,2020-02-26 02:00:00,2020-02-26 16:00:00,Stop Loss,M30#56fc2b9756c1 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
