ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason,entry_reason,origin_id,tf
1,BTCUSDT,BULLISH,7220.72,6992.65,0.43846187573990325,-100.0,2020-01-01 15:00:00,2020-01-02 17:00:00,Stop Loss,H1#1095b94ecced MN1 Flow (Tide) (Discovery) [T1],,
2,BTCUSDT,BULLISH,7226.73,7015.54,0.47350726833656986,-100.0,2020-01-01 15:30:00,2020-01-02 17:00:00,Stop Loss,M30#4de0618d603b MN1 Flow (Tide) (Discovery) [T1],,
3,BTCUSDT,BULLISH,7229.49,7015.42,0.4671369178306168,-100.0,2020-01-01 16:30:00,2020-01-02 17:00:00,Stop Loss,M30#37e20e97308e MN1 Flow (Tide) (Discovery) [T1],,
4,BTCUSDT,BULLISH,7148.56,6907.56,0.4149377593360996,-100.0,2020-01-02 11:00:00,2020-01-03 00:30:00,Stop Loss,M30#dd6e507d757a MN1 Flow (Tide) (Discovery) [T1],,
12,BTCUSDT,BEARISH,7321.57,7546.07,0.42761692650334077,-96.0,2020-01-03 14:00:00,2020-01-06 02:30:00,Stop Loss,H1#00e541721530 D1 Flow (Handover) [T1],,
13,BTCUSDT,BEARISH,7321.57,7546.07,0.42761692650334077,-96.0,2020-01-03 14:00:00,2020-01-06 02:30:00,Stop Loss,M30#ed57b56d2555 D1 Flow (Handover) [T1],,
5,BTCUSDT,BULLISH,6952.58,9266.02,0.3584229390681002,829.1899641577058,2020-01-03 04:00:00,2020-02-25 21:00:00,Stop Loss,H1#9dc0e02eae34 MN1 Flow (Tide) (Discovery) [T1],,
6,BTCUSDT,BULLISH,6952.58,9266.02,0.3584229390681002,829.1899641577058,2020-01-03 04:00:00,2020-02-25 21:00:00,Stop Loss,M30#d17d86c08337 MN1 Flow (Tide) (Discovery) [T1],,
7,BTCUSDT,BULLISH,7204.37,9266.02,0.21005645267165574,433.06288565051915,2020-01-03 05:30:00,2020-02-25 21:00:00,Stop Loss,M30#2464f1d2c19f MN1 Flow (Tide) (Discovery) [T1],,
8,BTCUSDT,BULLISH,7215.59,9266.02,0.20502306509482326,420.3854433623785,2020-01-03 08:00:00,2020-02-25 21:00:00,Stop Loss,H1#d347c404f025 MN1 Flow (Tide) (Discovery) [T1],,
9,BTCUSDT,BULLISH,7219.7,9266.02,0.42729336359994646,874.3789558018427,2020-01-03 08:30:00,2020-02-25 21:00:00,Stop Loss,M30#c034d3409217 MN1 Flow (Tide) (Discovery) [T1],,
10,BTCUSDT,BULLISH,7338.11,9266.02,0.42084959011003525,811.3601332690384,2020-01-03 13:00:00,2020-02-25 21:00:00,Stop Loss,H1#d584bc31f1fe MN1 Flow (Tide) (Discovery) [T1],,
